"","KOPT-K1.DMSO.1","KOPT-K1.DMSO.2","KOPT-K1.DMSO.3","HPB-ALL.DMSO.1","HPB-ALL.DMSO.2","HPB-ALL.DMSO.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","HPB-ALL.SAHM1.1","HPB-ALL.SAHM1.2","HPB-ALL.SAHM1.3"
"GBP5",5.3824448648068,5.67319230084905,4.92159059871555,3.03181688912995,3.16134955768947,2.81057078662257,4.50046126855729,4.20934763129159,4.24864624205659,3.20085699935707,3.07431086066262,3.23964443660125
"LRRC58",7.02484846711882,7.18163747258752,7.40065034197285,7.98888910664741,7.10410058819642,7.47803273278098,6.67940613044211,6.4526431145179,6.57188719130928,7.98037952806538,7.99580812432228,8.01654456373926
"NIBAN1",6.7123783968798,6.86331533743511,6.54435389703851,5.94167931496994,5.27115340320351,5.7079487054915,5.15301542410301,5.28602722741079,5.7440834810879,6.42170934441294,6.31158995337194,6.46798863622713
"FRA10AC1",3.49215767583001,4.05917611063298,3.81099770840853,4.64130306459257,4.14270029289608,4.33708802781355,3.42690502700163,3.2422356587114,3.36246986414802,5.00396849242547,5.06053167192946,4.90165216191682
"ZNF641",5.63157653412151,5.98872754556608,5.89250773506955,5.91444569381443,5.3164533978779,5.52477017001219,4.70989485269066,4.99970875955377,4.95669749596015,6.44750860333268,6.10698868214037,6.35099627045033
"UHMK1",8.00748631671046,8.23252360277216,8.28013349072907,8.93885407053355,7.55514873729907,7.9035966473617,7.0845562837875,7.17775810926954,7.62182191196255,9.33236046562884,9.02285929359168,9.20104086444652
"IQGAP3",6.45287801192994,6.50955642813212,6.57597696832258,5.43234699627738,5.37792804890473,5.0952882818747,6.14878062573812,6.37892787846649,6.5771507879026,6.32726435157817,6.38607242904114,6.07767064629501
"AASDH",8.04550117745341,8.01458735868055,7.98011754102757,8.54785420174717,8.01254460680369,7.98179347908958,7.27024098625072,7.70657302237733,7.73955835589218,8.79104886709953,8.69217850785851,8.81496571560257
"C5orf24",6.50363938409008,6.7331996600326,6.63505602410523,7.98657814980381,7.4321566166035,7.67738960268502,6.02593685359084,5.78191165582474,6.24733811270235,8.41504382674435,8.21414459927374,8.38209687529117
"CR2",8.91327914939918,8.9278775828511,8.69564878341859,9.11672762863494,9.10956811500554,9.19484546318063,7.61100138361041,7.84514547749701,7.85411227544789,8.30884879139109,8.36157530511893,8.31412008080413
"APOOL",5.21775916111236,5.42958220600463,5.44923557007555,6.83672957219837,5.88280324292658,6.08230539301629,4.80738779201662,4.77168403287625,4.99902106393694,6.74982958936065,7.0462527124247,7.14861800729872
"DOCK11",6.6633011176461,6.95427406032839,6.96938687855101,5.68352177990048,4.55973029450146,4.7040412131684,5.48328133030993,5.83819989071664,5.82122902997814,5.91327259034737,6.30835258130784,6.11155692185846
