"","KOPT-K1.DMSO.1","KOPT-K1.DMSO.2","KOPT-K1.DMSO.3","HPB-ALL.DMSO.1","HPB-ALL.DMSO.2","HPB-ALL.DMSO.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","HPB-ALL.SAHM1.1","HPB-ALL.SAHM1.2","HPB-ALL.SAHM1.3"
"232752_at",3.94184303638179,4.84141101324107,4.25663802465718,7.27024234562111,7.03071186602068,7.34389697919216,3.88474513042411,3.8504151314863,3.77366561330583,7.27173654750955,7.25063950258657,7.20666500243403
"1554609_at",3.81199688652589,4.29772801799794,4.10349936016478,5.30762565521856,4.83024626302257,4.79668940678276,4.31907159675536,4.26135313880129,4.44856060087318,5.42461200069317,5.2627492718319,5.58060929101379
"1560089_at",5.12365297283651,5.85794384518154,5.35664459372523,6.24425063212536,5.95399023322841,6.4918764586266,5.68483558589965,5.59541350663361,5.2278591254308,6.09243489073051,6.23184102485278,6.18022827007682
"230696_at",7.57095381460891,7.9526106546071,7.7533489358733,8.34093443276473,8.21454230387488,8.47072636323646,7.70924689894777,7.67727987302374,7.67285442534269,8.57744569915016,8.62567917232969,8.62171848342794
"229338_at",4.96913011647596,4.79186183736239,4.6818285949198,5.4459949231837,5.4656043878783,5.55943217205061,4.68878906181851,4.45744311144648,4.34745465924016,5.75069035194882,5.66681836416422,5.63058986565811
"220354_at",4.14243144316245,4.3907437889443,4.10827382894824,5.10433330005162,4.90709812888793,5.03054053587045,3.74006674821735,3.82151443553434,4.19531063553756,5.2471144169583,5.32132886382738,5.10079013605573
"221963_x_at",7.62451806593348,7.42203145681323,7.46143300266236,8.3275328740057,8.3143264807205,8.16183540481178,7.38113331492673,7.11139508371466,7.60383372447594,8.26656477605496,8.21106770089742,8.43269218583686
"242121_at",6.0754852508402,5.94431240509298,5.80770262557898,7.21968436974868,6.89236771278879,7.08607697197184,6.2005143077476,6.03948517248724,5.9100322444132,7.17879816574061,7.28223664128397,7.24431848843508
"228972_at",9.55981067778421,9.73609047953846,9.62520052915844,8.53022161057478,8.2478108987179,8.68942493012538,9.84192042149081,9.84694346016195,9.87258917171838,8.87621195102531,9.0730841464342,8.89813899324106
"203976_s_at",6.95552055082027,6.77220170017196,6.53398815516685,8.05478821153763,8.3181935399874,8.17735698791262,6.67309987429566,6.54890439648263,6.56320352976082,7.79047185398743,7.63039365459343,7.91090067570247
"232478_at",5.441357533275,5.83098728950312,5.36313679214853,6.3094667266773,6.44030454956717,6.55403141217961,5.51473330282734,5.32234115172376,5.58220496163452,6.57179632198655,6.551352337188,6.51584320578987
"214086_s_at",8.41819947894572,8.45430732574972,8.42506719142026,9.37224548976493,9.26069366371706,9.3899293506841,8.41041491407682,8.45378190065922,8.10435060048986,9.36675547012749,9.46240692523273,9.38470276597378
"243648_at",7.4061990523459,7.85293845064963,8.05233509271001,7.91530567925775,6.31286899918763,6.50891060401193,6.45626394281103,6.71775275726125,7.28640656233973,8.0364354794756,7.89607662519798,7.92986761128514
"204485_s_at",3.83601064214942,3.61009691824885,3.2449386783034,4.66651768738481,4.18716150643025,4.52241018548481,4.13757909830387,4.2667307955706,3.59480354235238,4.18802578727247,4.49583532646882,4.87118101423762
"1570064_at",4.83494435274679,4.82883653296963,4.90481595856112,3.99809664852945,4.12843262777495,3.85287716799992,4.68094952865301,5.91549640667355,5.38372155530564,3.84405960985928,3.90725178293976,4.1395240561805
"202807_s_at",5.73638113808112,6.07468522621108,5.56275052727507,4.82095040467502,4.90576786024611,4.86111833267281,5.93857330426968,5.47934750630919,5.71995957650392,4.86839024416512,4.93042947386535,4.98606382496089
"226673_at",6.8605114569756,7.00840601320945,6.95142269988959,4.10809177054612,3.72868216425907,4.34484461079767,6.55914027274271,6.2068366532285,6.7037133737235,3.89230197501726,3.88645772845949,4.19491418791518
"202583_s_at",8.95519971093206,8.77319357775747,8.88419310203728,9.72926697158248,9.90648373549236,9.76657435882857,8.06596975224085,7.77410762159943,7.9099224160538,9.8118506228866,9.79347467722894,9.86514990629435
"209015_s_at",10.2051554534734,10.3460886931244,10.303098247351,9.44059558265455,9.46576327539126,9.54390695592766,10.3375846368693,10.358923872689,10.325264099103,9.03953536903183,8.98415519639416,9.07670581184608
"215009_s_at",9.19068338235071,9.18397119303155,9.20864106091731,9.87443377360797,9.7009290684246,9.90410867433834,8.723744926442,8.63876907464098,8.69405524638538,10.203325844843,10.1834689211397,10.2212821609114
"227567_at",2.77395723029529,3.19766737585677,3.0337967807774,8.1308819777907,8.07745305217715,8.25469025730578,3.89813931221636,3.31606905861652,2.9663690025041,7.90749419610697,8.03399507151871,7.93008437819644
"229926_at",4.91205494018011,4.95378865954258,4.69214605562976,5.49994534452576,5.09775872204695,5.6230929702993,4.22908255623066,4.14289477509374,4.59185681002831,5.41855107960592,5.39181746874183,5.4131846459555
"226663_at",8.37784515155202,8.23900142797501,8.24909168799197,8.88539460530125,8.56398106990512,8.62166063169834,7.80865957973609,7.87816204928444,7.84037457083742,9.31503018679423,9.17314240962902,8.82726695743582
"235171_at",10.6795484141199,10.601082978451,10.5206717962774,9.73363370910432,9.53132667632865,9.84011995917203,10.6258292579716,10.6728107773061,10.5987421679211,10.0373852813057,10.1353432255932,10.0588269258417
"241534_at",4.8572453993206,4.91430407512793,5.32798211402447,4.28628033055312,3.55420338396712,3.7041836664908,4.37304581429087,4.4070961955175,4.84554140031339,4.01436941682561,4.11000853288168,4.29211279029645
"225567_at",4.94888990347686,5.18830971440298,5.30623131052159,5.85320641996985,5.73636046869451,5.81611801720067,4.28274891323099,4.38272950194903,4.63058704346436,5.67631425180619,5.59296179376158,6.0155934384323
"236798_at",8.23411121600186,8.22961482492152,8.24092127161662,7.2778133077823,7.10016537561643,7.35042269915155,7.29975429524452,7.6226149970791,7.18546832601032,7.86364049723598,8.25024755735316,8.1400652048074
"243742_at",3.73919967536797,4.00891465856562,3.99546208911338,5.0082113966379,4.65455573740396,4.78671124615178,3.83664543917622,4.37026976485561,4.0969617135774,4.98635245105854,5.0654722881905,4.8629839830363
"231819_at",6.01951744481498,6.24195284568794,6.28556960905876,7.34047234927492,7.48611896710759,7.50536851452386,6.2200615982707,6.09872678086147,6.29011695483043,7.67032100399384,7.35588580712967,7.25323246070331
"229815_at",5.98776473291788,5.52559841401919,5.22033105299537,6.37964132785012,6.3867161755678,6.29287987089,5.6028621317786,5.79769190329466,5.3827395740382,6.21837378326165,6.56989628817746,6.16789165714335
"81737_at",6.31299379724735,6.19169471297802,6.13235522797134,4.59594598821996,4.43576918152763,4.53966503146208,7.26581569708484,7.3674717578763,7.7355807757964,5.09790364954812,5.23074708085678,5.01989639608844
"240100_at",3.29358371666797,3.45881080669165,3.62680329517611,4.3746342419669,4.21897666955357,4.13563744287627,3.44938913509148,3.59686628029205,3.65102702253752,4.10944011845574,4.43424894420452,4.33896337086107
"241504_at",4.51013244725691,4.43152879044668,4.56964952598076,3.69122890682557,4.05310364435614,3.56701742441215,4.75145667902723,4.44230131868308,4.29060998311368,3.64435241462065,3.54452079383078,3.81680443070751
"228773_at",8.48593760769686,8.5085905634361,8.39265491094477,7.37647934272257,7.03105014147221,7.29730232667644,8.40138866862906,8.59933412222525,8.31738584914318,7.161305650135,7.18634186998278,7.43214649019484
"243440_at",6.34273108142426,6.20728546196186,5.95037694263789,3.96428281256477,4.01539000415889,4.11063132641756,5.9131930098268,5.82915272871265,5.93977012374701,3.68048565405202,4.22209956505168,3.95355196621105
"230710_at",6.21457283276394,6.52393396084231,6.6591683577553,6.01383562835625,5.79197013688958,5.94760453451983,5.64698521412154,5.75080930657845,6.18488376735262,3.85945454481446,4.17593053835732,4.2201683795656
